ID_estudiante,ID_IE,Seccion,sexo,ise,Distrito,M500_L,M500_CN,M500_M,grupo_M,riesgo_matematica
2022223126707900109,1818,A,Mujer,1.53735292529338,SAN JUAN DE MIRAFLORES,617.137,564.565,633.563,En proceso,0
2022223126707900110,1818,A,Hombre,1.3165415800759,SAN JUAN DE MIRAFLORES,512.365,438.285,544.231,En inicio,1
2022223126707900111,1818,A,Mujer,1.58343872991473,SAN JUAN DE MIRAFLORES,515.506,409.223,451.076,Previo al Inicio,1
2022223126707900112,1818,A,Mujer,1.25685918127284,SAN JUAN DE MIRAFLORES,523.267,483.808,443.571,Previo al Inicio,1
2022223126707900113,1818,A,Hombre,0.410801171612741,SAN JUAN DE MIRAFLORES,571.373,443.686,550.293,En inicio,1
2022223126707900114,1818,A,Mujer,0.504898001400219,SAN JUAN DE MIRAFLORES,625.699,585.269,610.111,En proceso,0
2022223126707900115,1818,A,Mujer,0.244509575869632,SAN JUAN DE MIRAFLORES,813.623,770.445,733.934,Satisfactorio,0
2022223126707900116,1818,A,Mujer,0.521533645996997,SAN JUAN DE MIRAFLORES,655.818,498.853,599.721,En proceso,0
2022223126707900117,1818,A,Mujer,1.05715141099196,SAN JUAN DE MIRAFLORES,657.789,600.571,609.823,En proceso,0
2022223126707900118,1818,A,Hombre,0.449014588752293,SAN JUAN DE MIRAFLORES,701.398,722.222,703.772,Satisfactorio,0
2022223126707900119,1818,A,Mujer,0.490296956356116,SAN JUAN DE MIRAFLORES,617.137,643.908,610.111,En proceso,0
2022223126707900120,1818,A,Hombre,0.355734135986358,SAN JUAN DE MIRAFLORES,604.264,483.936,604.988,En proceso,0
2022223126707900121,1818,A,Hombre,0.810635488098222,SAN JUAN DE MIRAFLORES,635,650.723,662.498,Satisfactorio,0
2022223126707900122,1818,A,Hombre,0.484297395877961,SAN JUAN DE MIRAFLORES,581.967,498.853,620.286,En proceso,0
2022223126707900123,1818,A,Mujer,1.06764475729775,SAN JUAN DE MIRAFLORES,620.586,600.571,593.876,En inicio,1
2022223126707900124,1818,A,Hombre,0.465139256258317,SAN JUAN DE MIRAFLORES,564.844,463.361,522.656,En inicio,1
2022223126707900125,1818,A,Hombre,1.45924505497316,SAN JUAN DE MIRAFLORES,719.692, ,697.062,Satisfactorio,0
2022223126707900126,1818,A,Mujer,1.32114797703188,SAN JUAN DE MIRAFLORES,545.565, ,506.781,Previo al Inicio,1
2022223126707900127,1818,A,Mujer,0.287283594792056,SAN JUAN DE MIRAFLORES,588.989,584.626,590.124,En inicio,1
2022223126707900128,1818,A,Mujer,0.115533411123703,SAN JUAN DE MIRAFLORES,687.601,604.558,686.599,Satisfactorio,0
2022223126707900129,1818,A,Mujer,0.955558154347247,SAN JUAN DE MIRAFLORES,609.007,557.107,550.22,En inicio,1
2022223126707900130,1818,A,Mujer,1.26126003829213,SAN JUAN DE MIRAFLORES,627.916,545.404,535.717,En inicio,1
2022223126707900131,1818,A,Hombre, ,SAN JUAN DE MIRAFLORES,677.315,529.33,615.595,En proceso,0
2022223126707900201,1818,B,Hombre,0.502735589535605,SAN JUAN DE MIRAFLORES,589.604,515.313,569.631,En inicio,1
2022223126707900202,1818,B,Hombre,1.05720577361356,SAN JUAN DE MIRAFLORES,523.083,442.658,560.395,En inicio,1
2022223126707900203,1818,B,Mujer,0.940479907847875,SAN JUAN DE MIRAFLORES,619.478,486.765,545.097,En inicio,1
2022223126707900204,1818,B,Mujer,1.21830995268342,SAN JUAN DE MIRAFLORES,577.347,401.25,461.322,Previo al Inicio,1
2022223126707900205,1818,B,Mujer,1.42273935625593,SAN JUAN DE MIRAFLORES,530.289,468.248,621.44,En proceso,0
2022223126707900206,1818,B,Hombre,0.267261790639386,SAN JUAN DE MIRAFLORES,552.771, ,632.913,En proceso,0
2022223126707900207,1818,B,Hombre,1.22246382461173,SAN JUAN DE MIRAFLORES,655.818,473.777,579.444,En inicio,1
2022223126707900208,1818,B,Hombre,1.26008517080908,SAN JUAN DE MIRAFLORES,611.347,611.502,620.286,En proceso,0
2022223126707900209,1818,B,Mujer,1.28858665577401,SAN JUAN DE MIRAFLORES,620.586,643.908,593.876,En inicio,1
